Type,Number
Local rate,131015
Local rate,131016
Local rate,131018
Local rate,131019
Local rate,131022
Local rate,131029
Local rate,131036
Local rate,131037
Local rate,131041
Local rate,131042
Local rate,131045
Local rate,131048
Local rate,131049
Local rate,131051
Local rate,131052
Local rate,131053
Local rate,131054
Local rate,131057
Local rate,131059
Local rate,131061
Local rate,131063
Local rate,131064
Local rate,131066
Local rate,131067
Local rate,131068
Local rate,131069
Local rate,131071
Local rate,131073
Local rate,131074
Local rate,131078
Local rate,131079
Local rate,131082
Local rate,131083
Local rate,131089
Local rate,131092
Local rate,131094
Local rate,131097
Local rate,131100
Local rate,131104
Local rate,131106
Local rate,131108
Local rate,131109
Local rate,131110
Local rate,131124
Local rate,131128
Local rate,131129
Local rate,131138
Local rate,131148
Local rate,131153
Local rate,131154
Local rate,131159
Local rate,131162
Local rate,131163
Local rate,131164
Local rate,131165
Local rate,131173
Local rate,131174
Local rate,131177
Local rate,131179
Local rate,131183
Local rate,131185
Local rate,131186
Local rate,131187
Local rate,131194
Local rate,131196
Local rate,131203
Local rate,131204
Local rate,131205
Local rate,131206
Local rate,131207
Local rate,131210
Local rate,131216
Local rate,131219
Local rate,131222
Local rate,131227
Local rate,131235
Local rate,131239
Local rate,131240
Local rate,131243
Local rate,131247
Local rate,131249
Local rate,131252
Local rate,131254
Local rate,131257
Local rate,131258
Local rate,131259
Local rate,131260
Local rate,131264
Local rate,131265
Local rate,131270
Local rate,131271
Local rate,131273
Local rate,131276
Local rate,131277
Local rate,131281
Local rate,131283
Local rate,131285
Local rate,131286
Local rate,131289
Local rate,131290
Local rate,131291
Local rate,131294
Local rate,131297
Local rate,131298
Local rate,131300
Local rate,131304
Local rate,131305
Local rate,131306
Local rate,131307
Local rate,131308
Local rate,131309
Local rate,131319
Local rate,131324
Local rate,131327
Local rate,131337
Local rate,131338
Local rate,131346
Local rate,131348
Local rate,131357
Local rate,131361
Local rate,131367
Local rate,131368
Local rate,131371
Local rate,131377
Local rate,131379
Local rate,131382
Local rate,131387
Local rate,131391
Local rate,131397
Local rate,131398
Local rate,131400
Local rate,131401
Local rate,131403
Local rate,131405
Local rate,131407
Local rate,131408
Local rate,131409
Local rate,131410
Local rate,131417
Local rate,131419
Local rate,131420
Local rate,131421
Local rate,131428
Local rate,131429
Local rate,131430
Local rate,131432
Local rate,131435
Local rate,131436
Local rate,131438
Local rate,131443
Local rate,131445
Local rate,131447
Local rate,131449
Local rate,131454
Local rate,131457
Local rate,131459
Local rate,131460
Local rate,131462
Local rate,131467
Local rate,131470
Local rate,131473
Local rate,131475
Local rate,131482
Local rate,131483
Local rate,131484
Local rate,131485
Local rate,131487
Local rate,131489
Local rate,131490
Local rate,131494
Local rate,131496
Local rate,131499
Local rate,131501
Local rate,131502
Local rate,131503
Local rate,131504
Local rate,131505
Local rate,131507
Local rate,131508
Local rate,131509
Local rate,131510
Local rate,131514
Local rate,131516
Local rate,131525
Local rate,131526
Local rate,131527
Local rate,131528
Local rate,131530
Local rate,131533
Local rate,131534
Local rate,131535
Local rate,131537
Local rate,131541
Local rate,131543
Local rate,131544
Local rate,131548
Local rate,131549
Local rate,131553
Local rate,131558
Local rate,131561
Local rate,131562
Local rate,131566
Local rate,131569
Local rate,131570
Local rate,131571
Local rate,131572
Local rate,131573
Local rate,131577
Local rate,131578
Local rate,131581
Local rate,131582
Local rate,131583
Local rate,131584
Local rate,131585
Local rate,131587
Local rate,131588
Local rate,131591
Local rate,131592
Local rate,131593
Local rate,131594
Local rate,131595
Local rate,131596
Local rate,131597
Local rate,131599
Local rate,131603
Local rate,131605
Local rate,131606
Local rate,131620
Local rate,131621
Local rate,131622
Local rate,131623
Local rate,131624
Local rate,131625
Local rate,131627
Local rate,131634
Local rate,131635
Local rate,131637
Local rate,131638
Local rate,131640
Local rate,131641
Local rate,131643
Local rate,131644
Local rate,131645
Local rate,131648
Local rate,131650
Local rate,131651
Local rate,131652
Local rate,131654
Local rate,131655
Local rate,131656
Local rate,131657
Local rate,131658
Local rate,131659
Local rate,131660
Local rate,131662
Local rate,131663
Local rate,131664
Local rate,131665
Local rate,131666
Local rate,131667
Local rate,131671
Local rate,131675
Local rate,131676
Local rate,131677
Local rate,131678
Local rate,131682
Local rate,131683
Local rate,131684
Local rate,131685
Local rate,131689
Local rate,131690
Local rate,131692
Local rate,131695
Local rate,131697
Local rate,131698
Local rate,131699
Local rate,131701
Local rate,131702
Local rate,131704
Local rate,131705
Local rate,131706
Local rate,131708
Local rate,131712
Local rate,131721
Local rate,131724
Local rate,131726
Local rate,131730
Local rate,131731
Local rate,131734
Local rate,131735
Local rate,131736
Local rate,131741
Local rate,131743
Local rate,131752
Local rate,131753
Local rate,131754
Local rate,131756
Local rate,131762
Local rate,131764
Local rate,131766
Local rate,131769
Local rate,131771
Local rate,131776
Local rate,131780
Local rate,131781
Local rate,131783
Local rate,131786
Local rate,131790
Local rate,131791
Local rate,131792
Local rate,131793
Local rate,131794
Local rate,131795
Local rate,131796
Local rate,131798
Local rate,131801
Local rate,131803
Local rate,131804
Local rate,131807
Local rate,131808
Local rate,131810
Local rate,131811
Local rate,131815
Local rate,131818
Local rate,131826
Local rate,131827
Local rate,131829
Local rate,131830
Local rate,131833
Local rate,131837
Local rate,131838
Local rate,131839
Local rate,131841
Local rate,131842
Local rate,131844
Local rate,131848
Local rate,131849
Local rate,131850
Local rate,131854
Local rate,131857
Local rate,131859
Local rate,131861
Local rate,131867
Local rate,131871
Local rate,131884
Local rate,131886
Local rate,131887
Local rate,131889
Local rate,131890
Local rate,131891
Local rate,131894
Local rate,131895
Local rate,131896
Local rate,131897
Local rate,131904
Local rate,131906
Local rate,131907
Local rate,131908
Local rate,131910
Local rate,131921
Local rate,131923
Local rate,131925
Local rate,131928
Local rate,131929
Local rate,131930
Local rate,131931
Local rate,131933
Local rate,131935
Local rate,131937
Local rate,131938
Local rate,131941
Local rate,131942
Local rate,131945
Local rate,131946
Local rate,131947
Local rate,131949
Local rate,131951
Local rate,131952
Local rate,131953
Local rate,131956
Local rate,131957
Local rate,131958
Local rate,131964
Local rate,131965
Local rate,131966
Local rate,131967
Local rate,131968
Local rate,131969
Local rate,131970
Local rate,131972
Local rate,131973
Local rate,131974
Local rate,131975
Local rate,131976
Local rate,131977
Local rate,131978
Local rate,131979
Local rate,131982
Local rate,131983
Local rate,131984
Local rate,131985
Local rate,131986
Local rate,131989
Local rate,131990
Local rate,131993
Local rate,131994
Local rate,131995
Local rate,131996
Local rate,132001
Local rate,132002
Local rate,132003
Local rate,132005
Local rate,132006
Local rate,132008
Local rate,132009
Local rate,132012
Local rate,132014
Local rate,132016
Local rate,132017
Local rate,132019
Local rate,132022
Local rate,132023
Local rate,132024
Local rate,132026
Local rate,132027
Local rate,132028
Local rate,132029
Local rate,132030
Local rate,132031
Local rate,132033
Local rate,132034
Local rate,132035
Local rate,132036
Local rate,132037
Local rate,132038
Local rate,132039
Local rate,132040
Local rate,132041
Local rate,132043
Local rate,132044
Local rate,132045
Local rate,132046
Local rate,132047
Local rate,132048
